,index,expanded_url,tweet_id,url
2399,44,http://ga.co/2qeniVy,864526626847117313,https://t.co/ygkJcYkYwB
2400,45,http://ga.co/2qBiHQg,864524849259184129,https://t.co/4b9MSTxJw9
2401,46,http://ga.co/2qTBQwv,864524598410448897,https://t.co/F5ukOnBsWM
2402,47,https://twitter.com/brunchwork/status/864521074385596416,864523449997213698,https://t.co/WTOMxseOC0
2403,48,http://ga.co/2pkET0M,864523340538679296,https://t.co/a86FwUTW8f
2404,49,https://www.invisionapp.com/blog/navigate-design-career-transitions/,864520318634696704,https://t.co/imzmPHe1jP
2405,50,http://ga.co/2pO0k6x,864518312906117122,https://t.co/brWHkd0VfP
2406,51,http://ga.co/2r299e8,864510759622950912,https://t.co/mGxWZQcym4
2407,52,http://ga.co/2qBhI2B,864498930704416768,https://t.co/L3Ynj4qbiF
2408,53,http://ga.co/2qB7NtU,864498714559361024,https://t.co/pNt1dbNwX0
2409,54,http://ga.co/2qBmblL,864498709282910209,https://t.co/F0OlJ9V3US
2410,55,http://ga.co/2qBrku9,864496236392566784,https://t.co/LLnOaCkq5H
2411,56,http://ga.co/2qeiJKZ,864477357993799680,https://t.co/fdu4ZXSiXF
2412,57,https://twitter.com/i/web/status/864474016173572100,864474016173572100,https://t.co/cJaFdiy7Qz
2413,58,http://ga.co/2r2dUUZ,864473013231656964,https://t.co/9DQxbhUstn
2414,59,http://www.bossedup.org/bootcamp,864469558719074304,https://t.co/EqfpXTWhKw
2415,60,https://twitter.com/i/web/status/864465712307331072,864465712307331072,https://t.co/LPaG8xdLTD
2416,0,http://ga.co/2raMlJc,865513865257156609,https://t.co/m80RSnRiMM
2417,1,http://ga.co/2qBj2m3,865490714389487618,https://t.co/axvEis1HNL
2418,2,http://ga.co/2qBjeSl,865471359496798208,https://t.co/wnFHQzPyOA
2419,3,https://twitter.com/i/web/status/865470831652220928,865470831652220928,https://t.co/9YasRSdQnQ
2420,4,http://ga.co/2qBtSZv,865461271264612356,https://t.co/yu2Uoqo0P4
2421,5,http://ga.co/2qB9kAa,865459272296955904,https://t.co/KKZDLiKCN7
2422,6,http://ga.co/2pO0k6x,865450698489700352,https://t.co/brWHkd0VfP
2423,7,http://ga.co/2rbzDdb,865442520871743488,https://t.co/U74NPg8khm
2424,8,http://ga.co/2rbzDdb,865442397987246080,https://t.co/U74NPfQJpO
2425,9,http://ga.co/2qekR5g,865421285571960835,https://t.co/gjsrfBZ9n6
2426,10,http://ga.co/2qBrEJB,865407717371912192,https://t.co/MeshaY7LSX
2427,11,https://uxdesign.cc/how-to-nail-a-user-interviews-in-a-ux-hcd-or-design-thinking-process-full-guide-17d4eeee8dc3,865406922324754432,https://t.co/g63Bt4XiqT
2428,12,http://ga.co/2qBBkn8,865405422429126656,https://t.co/43swdYvV4O
2429,13,http://ga.co/2qct0sU,865397978520891392,https://t.co/tv9LWpOZgb
2430,14,http://ga.co/2qenDrq,865392065034637314,https://t.co/HQiJo3YaV6
2431,15,http://ga.co/2qe27mM,865379233253785600,https://t.co/03bYQ0Nz7p
2432,16,http://crew.cm/2q44wQQ,865373128020635649,https://t.co/YhUx0OiRor
2433,17,http://hubs.ly/H07xNDy0,865372795273924608,https://t.co/MoqWOhtzoP
2434,18,https://www.eventbrite.com/e/hive-2017-proceed-with-intent-tickets-32297989155?aff=es2,865372684913451011,https://t.co/WiUkH91Gl9
2435,19,https://twitter.com/i/web/status/865372684913451011,865372684913451011,https://t.co/PlJG8iAhCc
2436,20,http://ga.co/2qejTWZ,865360354460749832,https://t.co/ptZaltXGSk
2437,21,http://ga.co/2qer15D,865353561324081152,https://t.co/a2WxKO212Z
2438,22,https://twitter.com/i/web/status/865352748556066816,865352748556066816,https://t.co/4S1BSopM8H
2439,23,https://twitter.com/i/web/status/865351815570894848,865351815570894848,https://t.co/Womt0NjDyh
2440,24,http://ga.co/2qekQOK,865348023823601669,https://t.co/xckgiG4p0i
2441,25,https://twitter.com/i/web/status/865337456035540997,865337456035540997,https://t.co/TAL01Z2ANj
2442,26,https://www.meetup.com/FuckUp-Nights-Sydney/events/240027397/,865330475732160512,https://t.co/OsANOYlbE6
2443,27,http://bit.ly/2rwkYZA,865324032673165316,https://t.co/AYk8LNsof0
2444,28,http://ga.co/2qeo3xP,865323400939679746,https://t.co/B6leJtZCHZ
2445,29,https://generalassemb.ly/education/tech-and/los-angeles/36075,865323270035218432,https://t.co/hlpPqJCAx6
2446,30,http://ga.co/2rgaW21,865322353080717312,https://t.co/hemBuW6Si6
2447,31,https://www.invisionapp.com/blog/fostering-inclusivity-design/,865320849787805696,https://t.co/uAwY7zUBYm
2448,32,http://ga.co/2qehDPk,865312087224045568,https://t.co/QpCy7wHUGt
2449,33,http://generalassemb.ly/education/women-who-code-intro-to-docker/seattle/36919,865311529649885185,https://t.co/lkg93cg0HL
2450,34,http://ga.co/2r2xtj3,865311038786347008,https://t.co/FNqdgzUbHK
2451,35,http://ga.co/2qeoUhW,865308782422884353,https://t.co/j0ZVm0gYBe
2452,36,http://ga.co/2qeoVm0,865307513226502144,https://t.co/ijsen4vw8t
2453,37,https://generalassemb.ly/education/get-your-sht-together-all-about-credit/denver/36260,865303983874854912,https://t.co/JtLzEoa98t
2454,38,http://ga.co/2qejJid,865299201290362880,https://t.co/k7VDWtLyOU
2455,39,https://twitter.com/i/web/status/865298445891911684,865298445891911684,https://t.co/0AczN8rYYb
2456,40,https://www.economist.com/news/leaders/21721656-data-economy-demands-new-approach-antitrust-rules-worlds-most-valuable-resource,865289164882944000,https://t.co/5HwurfWq4V
2457,41,http://ga.co/2qbYTS5,865287382123282432,https://t.co/gHiUJNbTF0
2458,42,http://ga.co/2qbIo8Q,865287375974486016,https://t.co/PojXbmCwy1
2459,43,http://conference.uxpaboston.org/register,865286089942151168,https://t.co/xEHLted1au
2460,44,http://ga.co/2qy5Sp7,865284779050098688,https://t.co/IQZoKLioJR
2461,45,http://ga.co/2qehCLg,865282603552837632,https://t.co/e9sf2UyWmv
2462,46,https://www.meetup.com/TechinmotionOC/events/238303757/,865275041662906369,https://t.co/8DiEi0HoVo
2463,47,http://ga.co/2qbFSQ0,865270768447389696,https://t.co/9di6fgQzCp
2464,48,http://ga.co/2qbJtgC,865267749668474880,https://t.co/cflEnelkNT
2465,49,https://twitter.com/i/web/status/865265074784669698,865265074784669698,https://t.co/UNFYZY7u91
2466,50,http://ga.co/2r0iuSX,865259439850389506,https://t.co/1x0kvKpfMj
2467,51,http://ga.co/2qbDYP2,865257188960468993,https://t.co/K4IdpSYK4J
2468,52,http://ga.co/2qeE8Uf,865255687533867008,https://t.co/WYbo0PoyJ8
2469,53,http://ga.co/2qegIhZ,865251399545880576,https://t.co/BAhPT2uSTo
2470,54,http://ga.co/2qbIjC4,865249647085977601,https://t.co/Vk0iUHh5iB
2471,55,http://ga.co/2q4ttwY,865235531004657664,https://t.co/VUfnjvimfr
2472,56,http://ga.co/2pxbzzr,865224210557403136,https://t.co/m71KM1mhM5
2473,57,http://ga.co/2qbTIBG,865223705965842432,https://t.co/yTjxAupvEE
2474,58,http://ga.co/2qbLZDQ,865223458447175680,https://t.co/AqlmC7zCZC
2475,59,http://ga.co/2qbI4H3,865223456765423616,https://t.co/6llKBTUklI
2476,60,http://ga.co/2qbJjpA,865220967416692736,https://t.co/W8QtgVJoik
2477,61,http://bit.ly/2qx5aIy,865220565086474241,https://t.co/tW5nc8rt3j
2478,62,http://ga.co/2pxqZnc,865216657588977664,https://t.co/zDFyNGtQub
2479,63,http://ga.co/2qejW4N,865202075189350401,https://t.co/aoQrOX0Pbi
2480,64,https://twitter.com/i/web/status/865194012176732160,865194012176732160,https://t.co/bIxjYGebGR
2481,65,https://twitter.com/i/web/status/865182683269181444,865182683269181444,https://t.co/Vn89jb02PE
2482,66,http://ga.co/2qc2uzJ,865151482492006400,https://t.co/Gy5MKQ0Q9H
2483,67,http://ga.co/2qejSSV,865128326754705408,https://t.co/dnJck7lI90
2484,68,https://twitter.com/i/web/status/865122287313223680,865122287313223680,https://t.co/PKaK6mA6hf
2485,69,https://twitter.com/i/web/status/865121405066555392,865121405066555392,https://t.co/ibN05KmbrM
2486,70,http://ga.co/2qbLhXd,865108951536476160,https://t.co/y7aNVfc0In
2487,71,http://ga.co/2qbx78y,865098886855184384,https://t.co/AZLskEtjRs
